,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
8819,20-Aug,서귀포시,서홍동,숙박,178,21107364,7145986.881,2021-07-28
8871,20-Aug,서귀포시,영천동,숙박,1762,136801239,5971022.193,2021-07-28
8902,20-Aug,서귀포시,송산동,숙박,1773,138321239,22631970.21,2021-07-28
8944,20-Aug,서귀포시,대륜동,숙박,36,39885936,17316741.16,2021-07-28
9038,20-Aug,서귀포시,대천동,숙박,502,44485991,10329930.17,2021-07-28
9044,20-Aug,서귀포시,대정읍,숙박,1,400000,19507941.98,2021-07-28
9082,20-Aug,제주시,건입동,숙박,36,2835000,10625927.44,2021-07-28
9158,20-Aug,제주시,노형동,숙박,110,12972000,55942545.13,2021-07-28
9191,20-Aug,제주시,구좌읍,숙박,5,220000,17961278.2,2021-07-28
9245,20-Aug,서귀포시,중문동,숙박,442,89458697,12400222.27,2021-07-28
9258,20-Aug,서귀포시,정방동,숙박,11,1520000,4506332.103,2021-07-28
9274,20-Aug,서귀포시,예래동,숙박,5105,2965228757,8336270.244,2021-07-28
9297,20-Aug,서귀포시,천지동,숙박,189,22627364,9329263.719,2021-07-28
9365,20-Aug,서귀포시,중앙동,숙박,11,1520000,4908821.165,2021-07-28
9400,20-Sep,제주시,연동,숙박,1976,462894324,46714075.68,2021-07-28
9415,20-Sep,제주시,애월읍,숙박,33,5207862,40684047.4,2021-07-28
9442,20-Sep,제주시,용담1동,숙박,21,2020080,7172909.207,2021-07-28
9505,20-Sep,제주시,외도동,숙박,342,30229732,12013281.1,2021-07-28
9525,20-Sep,제주시,삼도1동,숙박,167,28712761,11015233.49,2021-07-28
9533,20-Sep,제주시,삼도2동,숙박,1026,290719018,6824165.301,2021-07-28
9672,20-Sep,제주시,조천읍,숙박,68,10456299,22587312.81,2021-07-28
9810,20-Sep,제주시,이도1동,숙박,502,129642841,11990979.7,2021-07-28
9894,20-Sep,제주시,일도1동,숙박,6,341000,2761538.108,2021-07-28
9960,20-Sep,서귀포시,성산읍,숙박,38,1940000,15527094.53,2021-07-28
9989,20-Sep,서귀포시,서홍동,숙박,133,11176410,7162951.719,2021-07-28
10057,20-Sep,서귀포시,영천동,숙박,1097,91413311,5801886.357,2021-07-28
10073,20-Sep,서귀포시,송산동,숙박,1103,92873311,21434539.28,2021-07-28
10116,20-Sep,서귀포시,대륜동,숙박,16,6848128,15338923.1,2021-07-28
10207,20-Sep,서귀포시,대천동,숙박,332,16205350,9344504.812,2021-07-28
10251,20-Sep,제주시,건입동,숙박,31,1620000,9691362.027,2021-07-28
10328,20-Sep,제주시,노형동,숙박,88,7232000,53378443.8,2021-07-28
10362,20-Sep,제주시,구좌읍,숙박,1,100000,15306981.13,2021-07-28
