,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
5013,20-May,제주시,조천읍,문화/레져,940,37585400,23420502.38,2021-07-30
5057,20-May,제주시,화북동,문화/레져,449,35423280,25480032.8,2021-07-30
5075,20-May,제주시,한경면,문화/레져,276,7414000,7990752.428,2021-07-30
5085,20-May,제주시,한림읍,문화/레져,764,30334000,21804135.39,2021-07-30
5113,20-May,제주시,이도1동,문화/레져,699,71379670,12634590.43,2021-07-30
5122,20-May,제주시,이도2동,문화/레져,1925,236254550,55189068.97,2021-07-30
5137,20-May,제주시,우도면,문화/레져,553,23107500,1640624.802,2021-07-30
5187,20-May,제주시,일도1동,문화/레져,13325,1507071716,2979925.376,2021-07-30
5207,20-May,제주시,일도2동,문화/레져,1200,109242730,27686368.89,2021-07-30
5241,20-May,제주시,이호동,문화/레져,292,10131400,4770426.558,2021-07-30
5272,20-May,서귀포시,송산동,문화/레져,6212,678881195,21343622.25,2021-07-30
5294,20-May,서귀포시,서홍동,문화/레져,16,24890000,7219740.882,2021-07-30
5303,20-May,서귀포시,성산읍,문화/레져,257,16132200,15313496.26,2021-07-30
5322,20-May,서귀포시,영천동,문화/레져,143,17170500,5796950.667,2021-07-30
5386,20-May,서귀포시,안덕면,문화/레져,204,12855200,18648293.84,2021-07-30
5391,20-May,서귀포시,예래동,문화/레져,847,68553400,6372830.547,2021-07-30
5403,20-May,서귀포시,대륜동,문화/레져,51,10710600,15294277.34,2021-07-30
5412,20-May,서귀포시,대정읍,문화/레져,873,69676680,19233276.51,2021-07-30
5432,20-May,서귀포시,남원읍,문화/레져,374,17702000,15599792.29,2021-07-30
5467,20-May,서귀포시,동홍동,문화/레져,1272,82953130,18977618.76,2021-07-30
5532,20-May,서귀포시,대천동,문화/레져,2,480000,9192377.365,2021-07-30
5552,20-May,제주시,건입동,문화/레져,1058,56263590,9721165.924,2021-07-30
5560,20-May,제주시,구좌읍,문화/레져,335,9685290,15075239.15,2021-07-30
5630,20-May,제주시,도두동,문화/레져,847,27374400,3137558.336,2021-07-30
5675,20-May,제주시,노형동,문화/레져,1321,230679030,55051247.53,2021-07-30
5705,20-May,서귀포시,중문동,문화/레져,747,36693721,10862215.45,2021-07-30
5749,20-May,서귀포시,정방동,문화/레져,4861,583079065,3788125.362,2021-07-30
5773,20-May,서귀포시,천지동,문화/레져,4877,607969065,8969465.681,2021-07-30
5782,20-May,서귀포시,표선면,문화/레져,925,26837900,11343488.82,2021-07-30
5814,20-May,서귀포시,중앙동,문화/레져,4861,583079065,4527010.194,2021-07-30
5862,20-Jun,제주시,오라동,문화/레져,799,108811850,17646735.15,2021-07-30
5895,20-Jun,제주시,연동,문화/레져,4250,565396740,46947709.81,2021-07-30
5926,20-Jun,제주시,용담2동,문화/레져,463,26515100,16302770.63,2021-07-30
5937,20-Jun,제주시,용담1동,문화/레져,166,14758000,7357924.152,2021-07-30
5945,20-Jun,제주시,외도동,문화/레져,526,14314200,11264967.68,2021-07-30
6008,20-Jun,제주시,삼도2동,문화/레져,400,33951550,7072196.911,2021-07-30
6036,20-Jun,제주시,삼도1동,문화/레져,198,50881400,10863305.35,2021-07-30
6073,20-Jun,제주시,애월읍,문화/레져,1092,32577400,39710925.11,2021-07-30
6086,20-Jun,제주시,아라동,문화/레져,558,69659820,39866252.35,2021-07-30
6093,20-Jun,제주시,삼양동,문화/레져,987,35809080,18862007.37,2021-07-30
6125,20-Jun,제주시,추자면,문화/레져,45,4973500,1962725.026,2021-07-30
6185,20-Jun,제주시,조천읍,문화/레져,815,31075600,22749257.92,2021-07-30
6230,20-Jun,제주시,화북동,문화/레져,401,45280040,24831716.66,2021-07-30
6248,20-Jun,제주시,한경면,문화/레져,226,6430000,7556629.153,2021-07-30
6258,20-Jun,제주시,한림읍,문화/레져,633,26374300,22242513.45,2021-07-30
6283,20-Jun,제주시,이도1동,문화/레져,363,37950670,12293891.95,2021-07-30
6292,20-Jun,제주시,이도2동,문화/레져,1658,198749992,53669546.7,2021-07-30
6314,20-Jun,제주시,우도면,문화/레져,471,21893500,1599700.03,2021-07-30
